,state_name,total_households_applied_for_job_card,total_job_cards_issued,total_job_cards_(sc),total_job_cards_(st),total_job_cards_(non-sc/st),total_households_demanded_work,total_persons_demanded_work,total_households_allotted_work,total_persons_allotted_work,total_muster_rolls_filled,total_households_worked,total_persons_worked,total_households_reached_100_day_limit,total_persons_with_disability,total_households_worked_(non-sc/st),total_person-days_worked_(non-sc/st),total_sc_households_worked,total_person-days_worked_by_scs,total_st_households_worked,total_person-days_worked_by_sts,total_land_reform/iay_households_worked,total_person-days_worked_by_women,total_person-days,total_sc_households_over_100_day_limit,total_st_households_over_100_day_limit,total_households_demanded_work,total_persons_demanded_work,total_households_worked,total_persons_worked,"labour_exp._(disbursed,_rs._in_lakhs)","material_exp._(disbursed,_rs._in_lakhs)","labour_exp._(disbursed_+_pending,_rs._in_lakhs)","material_exp._(disbursed_+_pending,_rs._in_lakhs)",amount_sanctioned_(rs._in_lakhs),total_works,total_bank_accounts,total_individual_bank_accounts,total_joint_bank_accounts,amount_disbursed_to_bank_accounts,total_post_office_accounts,total_individual_post_office_accounts,total_joint_post_office_accounts,amount_disbursed_to_post_office_accounts,year,month
37,MIZORAM,190475,190461,39,189279,1143,189353,214471,189278,214388,87614,189231,214276,56528,109,1019,88008,37,3016,188175,16731942,3521,6015148,16822966,8,56277,79590,79590,76648,1224507,12544.29,1251.75,31624.57,1253.32,2662907.17,76887.0,210463,148042,62421,1158145204,3,3,0,5264,2016-2017,November
38,ANDAMAN AND NICOBAR,36024,36023,4,3966,32053,11770,14303,11743,14266,10910,11592,14048,479,0,0,0,0,0,0,0,0,0,0,0,7,2036,2211,2188,22621,,,,,,,34445,33591,854,40712737,206,205,1,50140,2016-2017,November
39,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2016-2017,November
40,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2016-2017,November
41,LAKSHADWEEP,8243,8071,9,7972,90,8,8,8,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2016-2017,November
42,NAGALAND,429713,429515,3640,410666,15209,421432,519981,421037,519274,43899,418351,515245,182,122,14980,977759,3626,205309,399745,27887637,264,8627552,29070705,0,177,324947,328464,330764,1888416,42995.71,15495.84,43014.53,15525.83,14798150.2,97430.0,83570,82835,735,584855519,6,6,0,43684,2016-2017,November
43,ODISHA,6433430,6419111,1171286,1764352,3483473,2355178,4063096,2352096,4056659,2076598,2031118,3282338,35665,6715,978378,35611553,344803,12435716,707937,29299986,37791,30799162,77347255,4969,17067,101091,132454,95763,1294086,141070.34,62579.24,142864.27,63159.92,229195452.44,3840673.0,5940563,5350526,590037,11941981295,1015508,731426,284082,1099041023,2016-2017,November
44,PUDUCHERRY,70057,68897,19250,87,49560,34883,39717,34882,39716,1509,31019,33563,0,29,20213,342190,10776,194757,30,446,23,461049,537393,0,0,392,400,339,2180,942.99,45.21,943.18,45.21,1767.0,4133.0,80401,79936,465,93296586,292,292,0,0,2016-2017,November
45,PUNJAB,1299715,1285301,938830,311,346160,610775,786105,610078,785020,140816,536372,650894,3511,986,122732,3837779,413546,11932986,94,2544,2101,9459355,15773309,2443,1,107383,121881,86652,906820,44035.34,6971.1,44141.47,7702.07,42549773.95,307199.0,1448393,1342897,105496,4296898928,52679,48732,3947,954851,2016-2017,November
46,RAJASTHAN,9821261,9729774,1852503,1804119,6073152,5098508,7731093,5096387,7726425,3285697,4634493,6652485,427233,10447,2638990,145812025,975668,55447293,1019835,58409007,7686,174065209,259668325,80963,118644,530334,657596,384804,5339835,337510.24,120908.29,337958.57,121364.18,285702101.44,3632229.0,11080620,10602687,477933,32799490277,1327603,1278538,49065,18228187,2016-2017,November
47,SIKKIM,80496,80330,3676,29754,46900,69908,87209,69898,87192,18105,68098,83265,8401,159,39625,2659316,2989,192559,25484,1759912,205,2207504,4611787,302,3580,23793,25171,22127,357623,8296.59,4103.45,8304.69,4217.84,47495633.63,42543.0,98110,97888,222,745889757,1352,1291,61,2183933,2016-2017,November
48,TAMIL NADU,8010977,7904990,2165397,118569,5621024,6295522,7768980,6295196,7768298,5833334,6261527,7616367,1320733,66320,4437196,281830032,1740652,113669701,83679,4442696,64846,342676896,399942429,387778,10047,2278996,2444721,2265892,19381933,444652.71,87567.15,445454.79,87712.61,313307837.38,2933542.0,9243162,9240892,2270,43929431764,0,0,0,0,2016-2017,November
49,TRIPURA,609086,608849,107266,244946,256637,586454,964784,586445,964601,735875,577324,929971,116090,10280,237118,17228802,102249,7642257,237957,21189522,92138,22593663,46060581,13010,74412,9515,10798,7136,54668,75592.59,36447.78,75698.98,37804.81,52818475.11,1253615.0,976583,927800,48783,7216618211,6,4,2,0,2016-2017,November
50,UTTAR PRADESH,15869019,15269974,5071327,156231,10042416,5837378,7485091,5829649,7473418,3371656,4994398,6225882,41170,12116,3244818,103042086,1700829,52449452,48751,1472927,50119,52099447,156964465,13475,311,104519,122141,86692,1207527,331845.14,69279.07,333181.65,71470.02,1267115814.46,7563513.0,13423731,12764209,659522,28628206516,275300,261157,14143,1096679,2016-2017,November
51,UTTARAKHAND,1079662,1059263,207745,40124,811394,596568,796014,596277,795534,399640,544241,704841,25549,1118,429401,18426027,93149,4204890,21691,1036491,2844,12771793,23667408,5268,1029,71103,84435,63647,931496,50885.32,14886.8,50933.99,14952.02,14532004.81,807766.0,1047374,992779,54595,4546300076,52540,50681,1859,182404189,2016-2017,November
52,WEST BENGAL,12854044,12742353,3320089,933285,8488979,6288519,9714275,6287579,9712210,5589222,5823342,8528559,199465,80926,3557264,143770765,1783952,71700235,482126,19986649,396156,109542972,235457649,61150,18742,738538,938767,724462,10400294,565822.38,112993.06,572419.57,117717.9,1026177096.99,9469345.0,14312939,13209651,1103288,53325939973,1842064,1644850,197214,1320061795,2016-2017,November
53,Total,127050565,124493907,26057542,18141938,80294427,55899994,86673403,55767595,86355135,43163412,50340578,74314771,3812182,408590,29781436,1368556296,10706269,480763119,8129961,395735982,1853098,1257892481,2245055397,796606,674389,9881833,12124527,8901371,94113822,3925314.48,1287550.02,3973973.76,1321813.9,9291890931.16,71837566.0,111888105,103190292,8697813,347182645157,11067204,9840537,1226667,10644344502,2016-2017,November
0,ANDAMAN AND NICOBAR,36380,36365,4,3977,32384,12164,14828,12161,14815,11105,12008,14589,486,31,11111,387596,0,0,897,24342,12,229805,411938,0,7,3019,3412,3011,29997,90.49,21.82,950.85,23.21,89468098.75,4584.0,35056,34312,744,52238240,120,120,0,48530,2016-2017,December
1,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2016-2017,December
2,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2016-2017,December
3,LAKSHADWEEP,8243,8071,9,7972,90,8,8,8,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2016-2017,December
4,NAGALAND,429215,428634,3636,409795,15203,421432,519981,421037,519274,43973,419128,516022,182,0,0,0,0,0,0,0,0,0,0,0,177,321729,325370,335994,1406436,,,,,,,57200,56569,631,421326534,6,6,0,43684,2016-2017,December
5,ANDHRA PRADESH,8554384,8554384,2094561,717191,5742632,4014973,7045364,3980950,6982992,6663379,3991319,6584514,580074,81160,2615925,136824943,985214,45924220,390180,22759558,866873,119697798,205508721,113116,80445,789893,1244810,477759,4837964,262947.71,160368.54,263431.88,160452.76,6585992.71,12042922.0,5987408,5986982,426,20176900382,1807291,1807290,1,4336630652,2016-2017,December
6,ARUNACHAL PRADESH,218870,217825,170,200179,17476,207359,229298,205260,226515,48935,202912,221935,46,510,16439,897399,150,6552,186323,7633985,9702,2911623,8537936,0,44,61266,61953,55193,715141,9210.03,5047.41,9451.23,5362.9,34615234.55,40509.0,165704,153113,12591,597513336,11381,10481,900,33451316,2016-2017,December
7,ASSAM,4595348,4420868,264373,692549,3463946,1785201,2704531,1784225,2702868,549726,1567972,2328882,11297,5554,1171089,34955863,83576,2198259,313307,9244248,34494,16930002,46398370,466,2886,415108,566937,353572,4457710,125523.45,15279.66,126949.49,23178.4,106045312.28,940264.0,3615554,2904183,711371,10667505375,475209,421009,54200,385275565,2016-2017,December
8,BIHAR,15217059,14530414,3656420,250017,10623977,2979329,3727978,2977825,3726082,1371253,2286043,2793763,14165,4762,1723097,64163030,522870,19800443,40076,1471424,54908,37364070,85434897,3773,244,787837,924401,629343,10462807,143199.81,58614.56,146381.26,62345.52,754818163.35,2916452.0,5225822,4695557,530265,13011890529,3265,3172,93,431703,2016-2017,December
9,CHHATTISGARH,3776191,3689788,389933,1262876,2036979,2542557,5242509,2540789,5238079,2459028,2132052,3998142,172904,23070,1161768,46513571,208185,7983939,762099,34094781,15862,43685276,88592291,13086,78849,293414,461373,223773,2820104,200834.13,59832.98,201872.57,60227.16,94990194.77,3519764.0,5701983,5676374,25609,16148182773,417401,414132,3269,811014066,2016-2017,December
10,ANDAMAN AND NICOBAR,36024,36023,4,3966,32053,11770,14303,11743,14266,10910,11592,14048,479,0,0,0,0,0,0,0,0,0,0,0,7,2825,3166,2817,28269,,,,,,,34445,33591,854,40712737,206,205,1,50140,2016-2017,December
11,DADRA & NAGAR HAVELI,8164,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.4,16.0,2181,2172,9,0,0,0,0,0,2016-2017,December
12,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2016-2017,December
13,LAKSHADWEEP,8243,8071,9,7972,90,8,8,8,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2016-2017,December
14,NAGALAND,429215,428634,3636,409795,15203,421432,519981,421037,519274,43973,419128,516022,182,0,0,0,0,0,0,0,0,0,0,0,177,321729,325370,335994,1406436,,,,,,,57183,56552,631,421326534,6,6,0,43684,2016-2017,December
15,ANDAMAN AND NICOBAR,36024,36023,4,3966,32053,11770,14303,11743,14266,10910,11592,14048,479,0,0,0,0,0,0,0,0,0,0,0,7,2825,3166,2817,28269,,,,,,,34445,33591,854,40712737,206,205,1,50140,2016-2017,December
16,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2016-2017,December
17,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2016-2017,December
18,LAKSHADWEEP,8243,8071,9,7972,90,8,8,8,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2016-2017,December
19,NAGALAND,429215,428634,3636,409795,15203,421432,519981,421037,519274,43973,419128,516022,182,0,0,0,0,0,0,0,0,0,0,0,177,321729,325370,335994,1406436,,,,,,,57200,56569,631,421326534,6,6,0,43684,2016-2017,December
20,GOA,36180,33087,787,9575,22725,6788,6980,6773,6953,1851,6755,6932,33,3,4278,78378,202,3510,2275,44378,10,98228,126266,1,15,1254,1263,1253,10729,294.04,72.53,294.08,76.13,1471994.05,5691.0,19601,19359,242,28747653,5,5,0,0,2016-2017,December
21,GUJARAT,3443325,3387958,238855,1298469,1850634,893470,1632873,890339,1626607,517959,716048,1279629,8240,9080,378554,14970470,45004,2032216,292490,10103329,24909,12323480,27106015,997,2040,99148,133772,68146,887163,47350.46,22518.29,47573.83,22664.01,273087365.76,1415322.0,2239415,1869296,370119,3695838342,793644,524447,269197,323509943,2016-2017,December
22,HARYANA,847677,846957,372506,58,474393,332211,526431,331823,525824,130065,281083,417918,2459,405,135189,4244880,145867,4246782,27,488,3072,3873940,8492150,1071,0,56975,78329,43995,524299,23047.64,7700.1,23119.24,7815.2,15948793.55,195181.0,983878,916123,67755,2246981744,24179,19998,4181,13942427,2016-2017,December
23,HIMACHAL PRADESH,1202775,1192801,321046,72928,798827,569620,761971,569507,761762,318431,528840,690675,11123,1453,343260,15208503,147380,6563820,38200,1887758,8517,14621809,23660081,3172,1376,212754,244428,183557,2899996,42006.04,11515.68,42012.52,11542.67,238535385.92,816273.0,1240907,1186266,54641,4188219117,12294,12025,269,15554231,2016-2017,December
24,JAMMU AND KASHMIR,1269476,1203791,80232,174016,949543,676537,1002390,675611,1000986,324420,600678,868042,32312,5373,462187,23107252,37167,1702763,101324,5420824,5626,8117331,30230839,2202,6697,165176,219090,188157,4284098,39941.61,33136.36,43745.64,38884.02,383716674.85,671224.0,1442844,1412450,30394,3211599525,2305,2099,206,2947067,2016-2017,December
25,JHARKHAND,4304050,4143507,500486,1461743,2181278,2077366,3129872,2076751,3128758,1876534,1742402,2470142,37140,7875,939838,39287589,206096,8519448,596468,22933861,12990,25271214,70740898,4584,11974,371115,461327,275593,3126984,118227.6,54738.51,122410.36,55378.48,150939321.32,3814936.0,3449106,3392412,56694,9225590844,561782,473656,88126,5400759,2016-2017,December
26,KARNATAKA,5306166,5291598,896222,437469,3957907,2151519,5452420,2095605,5279856,1290226,1817688,4415073,196326,9419,1339916,67881571,312207,15000813,165565,8486089,43280,43132769,91368473,27710,18354,380004,772284,291007,5871742,215463.61,101110.18,216635.77,104336.18,666005993.34,4459469.0,6881817,5268229,1613588,18360362609,283614,148743,134871,1224,2016-2017,December
27,KERALA,3224402,3223772,410218,102937,2710617,1606074,1839391,1605923,1839085,2284451,1457411,1643558,113186,2056,1165479,53467260,233040,11703605,58892,3290991,27615,62355653,68461856,19623,6368,873915,932552,807277,7492903,214074.09,12713.17,214100.97,12853.02,372210484.04,2693124.0,2908709,2897522,11187,20843263922,67313,67201,112,167738264,2016-2017,December
28,ANDAMAN AND NICOBAR,36024,36023,4,3966,32053,11770,14303,11743,14266,10910,11592,14048,479,0,0,0,0,0,0,0,0,0,0,0,7,2825,3166,2817,28269,,,,,,,34445,33591,854,40712737,206,205,1,50140,2016-2017,December
29,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2016-2017,December
30,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2016-2017,December
31,LAKSHADWEEP,8250,8076,9,7977,90,8,8,8,8,4,8,8,0,0,0,0,0,0,8,110,0,0,110,0,0,0,0,0,0,0.24,0.0,0.24,0.0,1113.63,740.0,3097,3091,6,0,4292,4278,14,0,2016-2017,December
32,NAGALAND,429215,428634,3636,409795,15203,421432,519981,421037,519274,43973,419128,516022,182,0,0,0,0,0,0,0,0,0,0,0,177,321729,325370,335994,1406436,,,,,,,57183,56552,631,421326534,6,6,0,43684,2016-2017,December
33,MADHYA PRADESH,6825231,6739981,1142913,2198875,3398193,3372394,6728375,3361963,6702344,1943152,2801317,5202861,140912,48725,1293733,54567682,457043,18174097,1050541,40265968,41512,46675452,113007747,23260,46223,907721,1424703,653475,9193460,218862.21,112358.27,219100.36,112775.89,778279676.33,4819433.0,7611703,6067644,1544059,17862711172,388474,311176,77298,699582224,2016-2017,December
34,MAHARASHTRA,8435525,8212849,793875,1127934,6291040,1613022,3206489,1611147,3202438,1180258,1433334,2726261,167832,18290,1014932,50287082,132025,6255468,286377,14356031,40825,31807887,70898581,13750,34438,197020,343435,166261,3033331,133555.07,63247.39,134783.96,64171.25,1906344354.73,3170355.0,5264200,4803261,460939,11665156908,1583848,1545934,37914,1199042507,2016-2017,December
35,MANIPUR,548507,546219,15463,246079,284677,519710,555055,518787,553891,124033,515717,548329,3,1150,257586,6503996,14832,359455,243299,5039884,655,4968330,11903335,0,0,393,395,621,6285,23313.39,11912.53,23424.42,11935.57,101913311.66,124808.0,391437,377347,14090,1331621967,31996,27335,4661,106380,2016-2017,December
36,MEGHALAYA,518114,516192,3820,480954,31418,422374,558656,422194,558345,265089,414565,545520,86473,347,25321,1582889,3135,209558,386109,26458174,4542,12508064,28250621,429,83406,136747,155493,142453,2319283,51179.22,24833.3,51194.83,24865.8,20556448.59,157624.0,383492,302167,81325,2753109529,12506,11584,922,25272743,2016-2017,December
37,MIZORAM,190475,190461,39,189279,1143,189353,214471,189278,214388,87614,189231,214276,56528,109,1019,88008,37,3016,188175,16731942,3521,6015148,16822966,8,56277,48070,48070,66374,722293,12544.29,1251.75,31624.57,1253.32,2662907.17,76887.0,210463,148042,62421,1158145204,3,3,0,5264,2016-2017,December
38,ANDAMAN AND NICOBAR,36024,36023,4,3966,32053,11770,14303,11743,14266,10910,11592,14048,479,0,0,0,0,0,0,0,0,0,0,0,7,2825,3166,2817,28269,,,,,,,34445,33591,854,40712737,206,205,1,50140,2016-2017,December
39,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2016-2017,December
40,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2016-2017,December
41,LAKSHADWEEP,8243,8071,9,7972,90,8,8,8,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2016-2017,December
42,NAGALAND,429713,429515,3640,410666,15209,421432,519981,421037,519274,43899,418351,515245,182,122,14980,977759,3626,205309,399745,27887637,264,8627552,29070705,0,177,321729,325370,335645,1403151,42995.71,15495.84,43014.53,15525.83,14798150.2,97430.0,83570,82835,735,584855519,6,6,0,43684,2016-2017,December
43,ODISHA,6433430,6419111,1171286,1764352,3483473,2355178,4063096,2352096,4056659,2076598,2031118,3282338,35665,6715,978378,35611553,344803,12435716,707937,29299986,37791,30799162,77347255,4969,17067,278500,394466,224896,3062650,141070.34,62579.24,142864.27,63159.92,229195452.44,3840673.0,5940563,5350526,590037,11941981295,1015508,731426,284082,1099041023,2016-2017,December
44,PUDUCHERRY,70057,68897,19250,87,49560,34883,39717,34882,39716,1509,31019,33563,0,29,20213,342190,10776,194757,30,446,23,461049,537393,0,0,175,189,166,585,942.99,45.21,943.18,45.21,1767.0,4133.0,80401,79936,465,93296586,292,292,0,0,2016-2017,December
45,PUNJAB,1299715,1285301,938830,311,346160,610775,786105,610078,785020,140816,536372,650894,3511,986,122732,3837779,413546,11932986,94,2544,2101,9459355,15773309,2443,1,178034,212404,150754,1642866,44035.34,6971.1,44141.47,7702.07,42549773.95,307199.0,1448393,1342897,105496,4296898928,52679,48732,3947,954851,2016-2017,December
46,RAJASTHAN,9821261,9729774,1852503,1804119,6073152,5098508,7731093,5096387,7726425,3285697,4634493,6652485,427233,10447,2638990,145812025,975668,55447293,1019835,58409007,7686,174065209,259668325,80963,118644,1189390,1436389,970838,15175663,337510.24,120908.29,337958.57,121364.18,285702101.44,3632229.0,11080620,10602687,477933,32799490277,1327603,1278538,49065,18228187,2016-2017,December
47,SIKKIM,80496,80330,3676,29754,46900,69908,87209,69898,87192,18105,68098,83265,8401,159,39625,2659316,2989,192559,25484,1759912,205,2207504,4611787,302,3580,27647,29535,27711,445703,8296.59,4103.45,8304.69,4217.84,47495633.63,42543.0,98110,97888,222,745889757,1352,1291,61,2183933,2016-2017,December
48,TAMIL NADU,8010977,7904990,2165397,118569,5621024,6295522,7768980,6295196,7768298,5833334,6261527,7616367,1320733,66320,4437196,281830032,1740652,113669701,83679,4442696,64846,342676896,399942429,387778,10047,2393742,2572285,2387740,19796055,444652.71,87567.15,445454.79,87712.61,313307837.38,2933542.0,9243162,9240892,2270,43929431764,0,0,0,0,2016-2017,December
49,TRIPURA,609086,608849,107266,244946,256637,586454,964784,586445,964601,735875,577324,929971,116090,10280,237118,17228802,102249,7642257,237957,21189522,92138,22593663,46060581,13010,74412,116941,128354,100482,884984,75592.59,36447.78,75698.98,37804.81,52818475.11,1253615.0,976583,927800,48783,7216618211,6,4,2,0,2016-2017,December
50,UTTAR PRADESH,15869019,15269974,5071327,156231,10042416,5837378,7485091,5829649,7473418,3371656,4994398,6225882,41170,12116,3244818,103042086,1700829,52449452,48751,1472927,50119,52099447,156964465,13475,311,368800,426563,275135,3313876,331845.14,69279.07,333181.65,71470.02,1267115814.46,7563513.0,13423731,12764209,659522,28628206516,275300,261157,14143,1096679,2016-2017,December
51,UTTARAKHAND,1079662,1059263,207745,40124,811394,596568,796014,596277,795534,399640,544241,704841,25549,1118,429401,18426027,93149,4204890,21691,1036491,2844,12771793,23667408,5268,1029,126058,146126,112607,1711305,50885.32,14886.8,50933.99,14952.02,14532004.81,807766.0,1047374,992779,54595,4546300076,52540,50681,1859,182404189,2016-2017,December
52,WEST BENGAL,12854044,12742353,3320089,933285,8488979,6288519,9714275,6287579,9712210,5589222,5823342,8528559,199465,80926,3557264,143770765,1783952,71700235,482126,19986649,396156,109542972,235457649,61150,18742,1049524,1323984,980849,14237581,565822.38,112993.06,572419.57,117717.9,1026177096.99,9469345.0,14312939,13209651,1103288,53325939973,1842064,1644850,197214,1320061795,2016-2017,December
53,Total,127050565,124493907,26057542,18141938,80294427,55899994,86673403,55767595,86355135,43163412,50340578,74314771,3812182,408590,29781436,1368556296,10706269,480763119,8129961,395735982,1853098,1257892481,2245055397,796606,674389,13149585,16387836,11552887,131109528,3925314.48,1287550.02,3973973.76,1321813.9,9291890931.16,71837566.0,111888105,103190292,8697813,347182645157,11067204,9840537,1226667,10644344502,2016-2017,December
0,ANDAMAN AND NICOBAR,35318,35286,4,3931,31351,7692,9082,7689,9078,5565,7166,8397,27,22,6782,181361,0,0,384,9047,6,113498,190408,0,0,1207,1333,1015,11268,201.81,62.16,447.66,77.87,41284043.04,4178.0,37024,36400,624,29403117,107,107,0,4248,2017-2018,January
1,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2017-2018,January
2,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,January
3,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2017-2018,January
4,NAGALAND,432644,428816,3657,410004,15155,385992,411435,384732,409164,9397,381176,404248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,57200,56569,631,197059206,6,6,0,17028,2017-2018,January
5,ANDHRA PRADESH,8641251,8641251,2096592,715563,5829096,4271447,7414542,4263134,7399560,7255974,3994718,6513082,594499,78052,2654921,143049831,962456,46826491,377341,22215441,832122,126490291,212091763,121222,78376,1246474,1926938,483842,4464491,349900.64,257520.25,349996.73,258135.17,3927344.45,8750410.0,7453332,7453210,122,25934942237,991225,991225,0,2450640314,2017-2018,January
6,ARUNACHAL PRADESH,221215,219916,178,201726,18012,161946,172925,155743,165221,22252,141722,147964,2,447,14336,495678,119,3855,127267,3780869,5622,1552718,4280402,0,2,31056,32532,26827,420346,13498.44,7965.08,13674.81,8083.84,29203759.81,24382.0,226272,212309,13963,1058683825,5921,5572,349,13958640,2017-2018,January
7,ASSAM,4671142,4425753,257155,680217,3488381,1901375,2991751,1900571,2990598,732753,1684648,2604313,10928,7844,1302705,38566318,86703,2174127,295240,7345938,38291,18515230,48086383,307,1551,526111,719827,429551,4576628,92277.5,52126.43,93566.05,57072.98,68623681.86,1503101.0,4682785,4317867,364918,8594012574,402162,374538,27624,55322276,2017-2018,January
8,BIHAR,15896313,14833241,3652387,253562,10927292,2904668,3575580,2901632,3571907,1253422,2247235,2702189,15556,4486,1738430,63106947,471177,17299770,37628,1312896,69635,38052910,81719613,3823,221,437664,490579,316291,4691186,176060.33,96537.26,178216.34,100200.17,468158891.79,4846192.0,6692698,6260477,432221,16813486575,2845,2760,85,1992573,2017-2018,January
9,CHHATTISGARH,3833174,3701963,392391,1242097,2067475,2743316,5537036,2741465,5532714,4658431,2326446,4277448,323496,28100,1282368,63926537,233088,11587886,810990,44414886,26822,59611686,119929309,28004,134285,1004357,1724641,804329,13348076,193918.87,122145.26,194489.59,122885.81,45910338.74,4911480.0,6577975,6555360,22615,18292419820,269305,267479,1826,441502762,2017-2018,January
10,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,34445,33591,854,4813210,206,205,1,0,2017-2018,January
11,DADRA & NAGAR HAVELI,14072,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.4,2467.0,2181,2172,9,0,0,0,0,0,2017-2018,January
12,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,January
13,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2017-2018,January
14,NAGALAND,432645,428835,3657,410023,15155,385880,411230,384555,408934,9388,381170,404241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,57183,56552,631,186972782,6,6,0,16684,2017-2018,January
15,ANDAMAN AND NICOBAR,35514,35513,4,3934,31575,2573,2941,2534,2901,1355,2482,2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,34445,33591,854,4813210,206,205,1,0,2017-2018,January
16,DADRA & NAGAR HAVELI,9141,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2181,2172,9,0,0,0,0,0,2017-2018,January
17,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2017-2018,January
18,LAKSHADWEEP,8178,8008,9,7909,90,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3253,3249,4,0,4521,4507,14,0,2017-2018,January
19,NAGALAND,432644,428816,3657,410004,15155,385992,411435,384732,409164,9397,381176,404248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,57200,56569,631,197059206,6,6,0,17028,2017-2018,January
